Description,Category,UOM,Price,Discount,part #
"2.25"" x 85' White Paper Thermal Receipt Paper for Subway Card Readers - 3 rolls per pack",Basic Supplies,EA,8.39,,103010
"Office Depot Wood #2 Pencils, Medium Soft Lead, Pack Of 12","wooden pencils, wood pencils",DZ,0.68,10%,107580
"Office Depot Single-Ply Paper Rolls, 2 1/4in x 130ft, White, Pack Of 12","calculator paper, cash register paper, add rolls",PK,8.99,,108862
Royal Sovereign 13in Thermal and Cold 2 Roller Pouch Laminator,laminators,EA,72.68,25%,123922
New packaging same great paper 33; Letter size: 8 1/2 x 11 Paper weight: 20 lb. 92/104+ US/Euro brightness rating White The economical choice for high-volume copying Reliable copy paper perfect for everyday use Recommended for black-and-white copiers Acid free archival safe won t yellow or crumble over time Carton contains 10 reams; 500 sheets per ream If you need a pallet quantity order,Ink/Toner/Printer Paper,EA,28.3,5,920512
"MMF Industries Aluminum Coin Trays $100 Capacity, Green",coin trays,EA,6.29,20%,920512
"Office Depot Loose-Leaf Rings, 2in Diameter, Box Of 50",book rings,BX,10.86,,
"Brother P-touch Compact Label Maker, PTH110",,EA,34.99,,938678
"Fiskars Office Scissors, 8in, Bent Pointed, Gray",scissors,EA,4.94,,942990
"Avery TrueBlock White Inkjet Shipping Labels, 2in x 4in, Pack Of 250","address labels, mailing labels",BX,34.99,,983932
"Paper Mate Liquid Paper DryLine Grip Correction Tape, 1/5in x 334 4/5in, White","correction film, correction tape",EA,2.45,,987172
"OIC 100% Recycled Hardboard Clipboard, Letter Size, 9in x 12 1/2in, Brown",clipboards,EA,0.48,20%,991992